iter	RMSE
774	26511239.11
775	26508965.05
776	26497920.24
777	26492719.55
778	26489513.13
779	26395694.89
780	26386428.07
781	26380469.92
782	26379517.71
783	26378472.86
784	26345896.9
785	26342917.4
786	26342778.66
787	26342750.66
788	26341923.86
789	26340757.82
790	26284803.65
791	26284775
792	26283965.13
793	26280724.82
794	26278324.43
795	26275251.74
796	26272461.94
797	26270992.78
798	26270966.25
799	26270938.74
800	26268094.71
801	26266634.79
802	26266609.36
803	26265264.62
804	26259706.74
805	26257793.78
806	26255266.03
807	26255241.48
808	26255006.76
809	26254612.47
810	26252052.92
811	26251956.87
812	26249791.43
813	26249281.82
814	26248805.6
815	26244380.43
816	26236253.52
817	26235956.01
818	26232690.25
819	26231435.958820	26230189.138821	26229957.978822	26228239.738823	26226729.178824	26223902.048825	26223683.018826	26223662.738827	26219456.068828	26219436.228829	26218141.6
830	26217940.86
831	26217805.88
832	26215462.62
833	26213163.9
834	26210925.38
835	26208329.38
835	243
